Maze Size,Batchsize,Model,Path Accuracy (%),Inference Time GPU (Batch Load) (µs),Inference Time GPU (Single Load) (µs),Inference Time CPU (µs),Memory Usage GPU (MB),Memory Usage CPU (MB),Inference Time CPU (µs)_Astar,Speedup GPU (Daten auf GPU),Speedup GPU (Daten im RAM),Speedup CPU
10x10,32,FCAE,99.99,70.38926,43.96901600837708,256.862195,18.727051,19.109375,465.964825,10.597572274786028,6.6198284368950615,1.8140654174507853
10x10,64,FCAE,99.985,37.457516,27.35303669763259,193.809462,21.645508,29.65234375,474.557598,17.34935697436011,12.6692223264351,2.4485780678757574
10x10,128,FCAE,99.975,33.789828,21.625981514288743,168.371461,31.505859,33.234375,460.597665,21.298347300245005,13.63125213303838,2.7356041354300533
10x10,256,FCAE,99.975,23.255814,14.685482621381556,96.457941,51.226562,37.171875,456.35677,31.075367542607026,19.623341070753316,4.731147744486894
20x20,32,FCAE,98.91,74.389075,69.62814494729042,722.765038,27.605469,21.78515625,1818.847837,26.122307845152214,24.450469870743788,2.516513308437036
20x20,64,FCAE,99.075,54.67035,44.88599903334063,624.144918,39.216797,33.078125,1809.968201,40.32366974065974,33.10694372726716,2.8999165879613877
20x20,128,FCAE,99.07,47.582912,38.02117068961168,783.581929,60.439453,54.89453125,1787.322868,47.00862271156581,37.56228429231065,2.2809648893778918
20x20,256,FCAE,99.145,44.814616,39.93655381417727,648.746496,103.884766,90.70703125,1798.856482,45.04285698685937,40.13995081426113,2.772818802245985
30x30,32,FCAE,89.41,99.435137,78.13902560591697,649.262637,50.04834,25.1953125,4437.892147,56.79482323444722,44.631025620249304,6.835280353580549
30x30,64,FCAE,89.535,57.357958,55.13969394869317,586.131163,71.287109,43.734375,4450.692115,80.71666337396279,77.5950237803096,7.593338139913915
30x30,128,FCAE,89.885,43.395508,39.14589170058062,595.623207,111.905273,78.79296875,4421.113668,112.93940375189933,101.87952329075166,7.422668586517987
30x30,256,FCAE,89.695,40.642596,37.46357560157776,564.974525,149.641602,133.76171875,4598.051694,122.7339254239885,113.13380902145128,8.1385115443922
40x40,32,FCAE,84.185,103.463223,94.0666781437397,1560.136375,53.18457,45.3671875,8804.090355,93.5941454374184,85.09391163080238,5.643154339632649
40x40,64,FCAE,84.075,77.089782,71.8736916756668,1804.124627,77.55957,79.91015625,8640.727841,120.22101049145581,112.08655176894909,4.7894295724837415
40x40,128,FCAE,83.975,70.072768,69.72702804264749,1353.656063,125.450195,130.06640625,8605.6361,123.41894300638329,122.80999232112538,6.357328375516611
40x40,256,FCAE,83.845,65.203,69.51471822737139,1310.822406,174.731445,231.0390625,8726.184161,125.53002275659183,133.83102251430148,6.657030060714418
50x50,32,FCAE,75.105,121.601045,119.17208215236664,2160.750212,117.786621,56.6875,14877.361039,124.8393144627502,122.3456676626422,6.88527575116119
50x50,64,FCAE,75.5,92.779269,89.80156013759942,2266.390297,117.786621,112.6953125,14784.382609,164.63391712066547,159.35006568115986,6.523317112930616
50x50,128,FCAE,75.285,79.082181,85.95184782508072,2250.26317,117.786621,180.57421875,14944.100483,173.86595938475352,188.96925064573017,6.641045670671488
50x50,256,FCAE,75.055,83.91049,85.99051625668248,2067.01517,239.704102,346.98828125,15155.039697,176.24082697401266,180.60959597542572,7.331847350205949
10x10,32,A*,100.0,,,465.964825,,0.110728,,,,
10x10,64,A*,100.0,,,474.557598,,0.110997,,,,
10x10,128,A*,100.0,,,460.597665,,0.109087,,,,
10x10,256,A*,100.0,,,456.35677,,0.1071,,,,
20x20,32,A*,100.0,,,1818.847837,,0.171298,,,,
20x20,64,A*,100.0,,,1809.968201,,0.169083,,,,
20x20,128,A*,100.0,,,1787.322868,,0.170323,,,,
20x20,256,A*,100.0,,,1798.856482,,0.170348,,,,
30x30,32,A*,100.0,,,4437.892147,,0.257788,,,,
30x30,64,A*,100.0,,,4450.692115,,0.252508,,,,
30x30,128,A*,100.0,,,4421.113668,,0.254536,,,,
30x30,256,A*,100.0,,,4598.051694,,0.252389,,,,
40x40,32,A*,100.0,,,8804.090355,,0.421038,,,,
40x40,64,A*,100.0,,,8640.727841,,0.428521,,,,
40x40,128,A*,100.0,,,8605.6361,,0.420042,,,,
40x40,256,A*,100.0,,,8726.184161,,0.419682,,,,
50x50,32,A*,100.0,,,14877.361039,,0.491665,,,,
50x50,64,A*,100.0,,,14784.382609,,0.50494,,,,
50x50,128,A*,100.0,,,14944.100483,,0.498095,,,,
50x50,256,A*,100.0,,,15155.039697,,0.500588,,,,
